"","date","U","H","F","D","B","Shape","ns"
"548","1998-11",1,0,0,0,0,"U","1"
"549","1998-12",0,0,0,0,1,"B","4"
"550","1999-01",1,0,0,0,0,"U","1"
"551","1999-02",1,0,0,0,0,"U","1"
"552","1999-03",1,0,0,0,0,"U","1"
"553","1999-04",1,0,0,0,0,"U","1"
"554","1999-05",1,0,0,0,0,"U","1"
"555","1999-06",1,0,0,0,0,"U","1"
"556","1999-07",1,0,0,0,0,"U","1"
"557","1999-08",1,0,0,0,0,"U","1"
"558","1999-09",1,0,0,0,0,"U","1"
"559","1999-10",1,0,0,0,0,"U","1"
"560","1999-11",1,0,0,0,0,"U","1"
"561","1999-12",1,0,0,0,0,"U","1"
"562","2000-01",1,0,0,0,0,"U","1"
"563","2000-02",0,1,0,0,0,"H","2"
"564","2000-03",0,1,0,0,0,"H","2"
"565","2000-04",0,1,0,0,0,"H","2"
"566","2000-05",0,1,0,0,0,"H","2"
"567","2000-06",0,1,0,0,0,"H","2"
"568","2000-07",0,1,0,0,0,"H","2"
"569","2000-08",0,0,0,1,0,"D","3"
"570","2000-09",0,0,0,1,0,"D","3"
"571","2000-10",0,0,0,0,1,"B","4"
"572","2000-11",0,0,0,0,1,"B","4"
"573","2000-12",0,0,0,0,1,"B","4"
"574","2001-01",0,0,0,0,1,"B","4"
"575","2001-02",0,0,0,0,1,"B","4"
"576","2001-03",1,0,0,0,0,"U","1"
