,date,U,H,F,D,B,ms,ns
589,1994-01,1,0,0,0,0,U,1
590,1994-02,1,0,0,0,0,U,1
591,1994-03,1,0,0,0,0,U,1
592,1994-04,1,0,0,0,0,U,1
593,1994-05,1,0,0,0,0,U,1
594,1994-06,1,0,0,0,0,U,1
595,1994-07,1,0,0,0,0,U,1
596,1994-08,1,0,0,0,0,U,1
597,1994-09,1,0,0,0,0,U,1
598,1994-10,1,0,0,0,0,U,1
599,1994-11,1,0,0,0,0,U,1
600,1994-12,1,0,0,0,0,U,1
601,1995-01,1,0,0,0,0,U,1
602,1995-02,1,0,0,0,0,U,1
603,1995-03,1,0,0,0,0,U,1
604,1995-04,1,0,0,0,0,U,1
605,1995-05,1,0,0,0,0,U,1
606,1995-06,1,0,0,0,0,U,1
607,1995-07,1,0,0,0,0,U,1
608,1995-08,1,0,0,0,0,U,1
609,1995-09,1,0,0,0,0,U,1
610,1995-10,1,0,0,0,0,U,1
611,1995-11,1,0,0,0,0,U,1
612,1995-12,1,0,0,0,0,U,1
613,1996-01,1,0,0,0,0,U,1
614,1996-02,1,0,0,0,0,U,1
615,1996-03,1,0,0,0,0,U,1
616,1996-04,1,0,0,0,0,U,1
617,1996-05,1,0,0,0,0,U,1
618,1996-06,1,0,0,0,0,U,1
619,1996-07,1,0,0,0,0,U,1
620,1996-08,1,0,0,0,0,U,1
621,1996-09,1,0,0,0,0,U,1
622,1996-10,1,0,0,0,0,U,1
623,1996-11,1,0,0,0,0,U,1
624,1996-12,1,0,0,0,0,U,1
625,1997-01,1,0,0,0,0,U,1
626,1997-02,1,0,0,0,0,U,1
627,1997-03,1,0,0,0,0,U,1
628,1997-04,1,0,0,0,0,U,1
629,1997-05,1,0,0,0,0,U,1
630,1997-06,1,0,0,0,0,U,1
631,1997-07,1,0,0,0,0,U,1
632,1997-08,1,0,0,0,0,U,1
633,1997-09,1,0,0,0,0,U,1
634,1997-10,1,0,0,0,0,U,1
635,1997-11,1,0,0,0,0,U,1
636,1997-12,1,0,0,0,0,U,1
637,1998-01,1,0,0,0,0,U,1
638,1998-02,1,0,0,0,0,U,1
639,1998-03,1,0,0,0,0,U,1
640,1998-04,1,0,0,0,0,U,1
641,1998-05,1,0,0,0,0,U,1
642,1998-06,1,0,0,0,0,U,1
643,1998-07,1,0,0,0,0,U,1
644,1998-08,1,0,0,0,0,U,1
645,1998-09,0,0,0,0,1,B,4
646,1998-10,1,0,0,0,0,U,1
647,1998-11,1,0,0,0,0,U,1
648,1998-12,0,0,0,0,1,B,4
649,1999-01,1,0,0,0,0,U,1
650,1999-02,1,0,0,0,0,U,1
651,1999-03,1,0,0,0,0,U,1
652,1999-04,1,0,0,0,0,U,1
653,1999-05,1,0,0,0,0,U,1
654,1999-06,1,0,0,0,0,U,1
655,1999-07,1,0,0,0,0,U,1
656,1999-08,1,0,0,0,0,U,1
657,1999-09,1,0,0,0,0,U,1
658,1999-10,1,0,0,0,0,U,1
659,1999-11,1,0,0,0,0,U,1
660,1999-12,1,0,0,0,0,U,1
